what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1444756260675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756264153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756280645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756281810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756321841
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1444756321873
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444756323002
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1444756345251
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444756367431
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444756369675
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1444756372596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444756372701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444756375406
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444756378900
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756385863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756386628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756387218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756403745
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1444756407328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444756430518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756433547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756434142
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756435618
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756455270
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444756456958
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1444756479808
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444756489548
activated,editor,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui.buildEditor",1444756495349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756500046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756582483
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1444756584134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756590243
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756591103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756594437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756599097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756599873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756600549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756601115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756606950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756614179
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756615434
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756621913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756623087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756624036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756625453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756639973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756643221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444756648857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444756653641
