what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356226748
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1445356229805
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445356230669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356233087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356234135
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1445356235799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356238629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356239613
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1445356242267
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356248046
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356249569
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356250793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356252113
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1445356253377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356253805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356254709
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356255019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356345700
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445356347525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356351987
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356353253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356355910
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1445356358173
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1445356358209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445356358343
