what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453746317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453747945
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453756380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453757133
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453757824
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453758429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453763771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453764525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453765183
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453766294
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453771514
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453771676
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453771701
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453773458
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453773479
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453776145
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453779951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453780855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453786659
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453790481
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1445453792200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453801499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453812489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453813742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453870882
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453874955
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453881255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453883203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453951668
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453952832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453956491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445453975910
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453978171
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453978279
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453978301
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453980693
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453980717
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445453982027
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445453988600
